,Residence State,Residence State Code,Month,Month Code,UCD - ICD Sub-Chapter,UCD - ICD Sub-Chapter Code,Underlying Cause of death,Underlying Cause of death Code,Deaths
16,Alabama,1,"Jul., 2018",2018/07,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,210
17,Alabama,1,"Aug., 2018",2018/08,Chronic lower respiratory diseases,J40-J47,"Emphysema, unspecified",J43.9,12
18,Alabama,1,"Aug., 2018",2018/08,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,18
19,Alabama,1,"Aug., 2018",2018/08,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",J44.1,11
20,Alabama,1,"Aug., 2018",2018/08,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,238
21,Alabama,1,"Sep., 2018",2018/09,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,18
22,Alabama,1,"Sep., 2018",2018/09,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,200
23,Alabama,1,"Oct., 2018",2018/10,Chronic lower respiratory diseases,J40-J47,"Emphysema, unspecified",J43.9,10
24,Alabama,1,"Oct., 2018",2018/10,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,22
25,Alabama,1,"Oct., 2018",2018/10,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",J44.1,14
26,Alabama,1,"Oct., 2018",2018/10,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,213
27,Alabama,1,"Nov., 2018",2018/11,Chronic lower respiratory diseases,J40-J47,"Emphysema, unspecified",J43.9,12
28,Alabama,1,"Nov., 2018",2018/11,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,25
29,Alabama,1,"Nov., 2018",2018/11,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,206
30,Alabama,1,"Dec., 2018",2018/12,Chronic lower respiratory diseases,J40-J47,"Emphysema, unspecified",J43.9,12
31,Alabama,1,"Dec., 2018",2018/12,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,29
32,Alabama,1,"Dec., 2018",2018/12,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,290
33,Alabama,1,"Jan., 2019",2019/01,Chronic lower respiratory diseases,J40-J47,"Emphysema, unspecified",J43.9,11
34,Alabama,1,"Jan., 2019",2019/01,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,46
35,Alabama,1,"Jan., 2019",2019/01,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",J44.1,15
36,Alabama,1,"Jan., 2019",2019/01,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,291
37,Alabama,1,"Feb., 2019",2019/02,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,25
38,Alabama,1,"Feb., 2019",2019/02,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,250
39,Alabama,1,"Mar., 2019",2019/03,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,35
40,Alabama,1,"Mar., 2019",2019/03,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,256
41,Alabama,1,"Apr., 2019",2019/04,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,27
42,Alabama,1,"Apr., 2019",2019/04,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,260
43,Alabama,1,"May, 2019",2019/05,Chronic lower respiratory diseases,J40-J47,"Emphysema, unspecified",J43.9,11
44,Alabama,1,"May, 2019",2019/05,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,20
45,Alabama,1,"May, 2019",2019/05,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",J44.1,12
46,Alabama,1,"May, 2019",2019/05,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,259
47,Alabama,1,"Jun., 2019",2019/06,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,24
48,Alabama,1,"Jun., 2019",2019/06,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,228
49,Alabama,1,"Jul., 2019",2019/07,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,11
50,Alabama,1,"Jul., 2019",2019/07,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,204
51,Alabama,1,"Aug., 2019",2019/08,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,20
52,Alabama,1,"Aug., 2019",2019/08,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,225
53,Alabama,1,"Sep., 2019",2019/09,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,22
54,Alabama,1,"Sep., 2019",2019/09,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,232
55,Alabama,1,"Oct., 2019",2019/10,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,23
56,Alabama,1,"Oct., 2019",2019/10,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",J44.1,10
57,Alabama,1,"Oct., 2019",2019/10,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,208
58,Alabama,1,"Nov., 2019",2019/11,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,20
59,Alabama,1,"Nov., 2019",2019/11,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,250
60,Alabama,1,"Dec., 2019",2019/12,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,29
61,Alabama,1,"Dec., 2019",2019/12,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",J44.1,11
62,Alabama,1,"Dec., 2019",2019/12,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,272
63,Alabama,1,"Jan., 2020",2020/01,Chronic lower respiratory diseases,J40-J47,"Emphysema, unspecified",J43.9,10
64,Alabama,1,"Jan., 2020",2020/01,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,35
65,Alabama,1,"Jan., 2020",2020/01,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,265
66,Alabama,1,"Feb., 2020",2020/02,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,31
67,Alabama,1,"Feb., 2020",2020/02,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,261
68,Alabama,1,"Mar., 2020",2020/03,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,28
69,Alabama,1,"Mar., 2020",2020/03,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",J44.1,10
70,Alabama,1,"Mar., 2020",2020/03,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,255
71,Alabama,1,"Apr., 2020",2020/04,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,19
72,Alabama,1,"Apr., 2020",2020/04,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,234
73,Alabama,1,"May, 2020",2020/05,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,20
74,Alabama,1,"May, 2020",2020/05,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,225
75,Alabama,1,"Jun., 2020",2020/06,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,23
76,Alabama,1,"Jun., 2020",2020/06,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,222
77,Alabama,1,"Jul., 2020",2020/07,Chronic lower respiratory diseases,J40-J47,"Emphysema, unspecified",J43.9,10
78,Alabama,1,"Jul., 2020",2020/07,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,18
79,Alabama,1,"Jul., 2020",2020/07,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,254
80,Alabama,1,"Aug., 2020",2020/08,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,26
81,Alabama,1,"Aug., 2020",2020/08,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,245
82,Alabama,1,"Sep., 2020",2020/09,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,26
83,Alabama,1,"Sep., 2020",2020/09,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,236
84,Alabama,1,"Oct., 2020",2020/10,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,30
85,Alabama,1,"Oct., 2020",2020/10,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,204
86,Alabama,1,"Nov., 2020",2020/11,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,19
87,Alabama,1,"Nov., 2020",2020/11,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,224
88,Alabama,1,"Dec., 2020",2020/12,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,25
89,Alabama,1,"Dec., 2020",2020/12,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,246
90,Alabama,1,"Jan., 2021",2021/01,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,22
91,Alabama,1,"Jan., 2021",2021/01,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,274
92,Alabama,1,"Feb., 2021",2021/02,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,15
93,Alabama,1,"Feb., 2021",2021/02,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,201
94,Alabama,1,"Mar., 2021",2021/03,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,11
95,Alabama,1,"Mar., 2021",2021/03,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,224
96,Alabama,1,"Apr., 2021",2021/04,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,14
97,Alabama,1,"Apr., 2021",2021/04,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",J44.1,11
98,Alabama,1,"Apr., 2021",2021/04,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,200
99,Alabama,1,"May, 2021",2021/05,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,24
100,Alabama,1,"May, 2021",2021/05,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,241
101,Alabama,1,"Jun., 2021",2021/06,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,14
102,Alabama,1,"Jun., 2021",2021/06,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,233
103,Alabama,1,"Jul., 2021",2021/07,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,17
104,Alabama,1,"Jul., 2021",2021/07,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,235
105,Alabama,1,"Aug., 2021",2021/08,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,18
106,Alabama,1,"Aug., 2021",2021/08,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,251
107,Alabama,1,"Sep., 2021",2021/09,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,14
108,Alabama,1,"Sep., 2021",2021/09,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,225
109,Alabama,1,"Oct., 2021",2021/10,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,27
110,Alabama,1,"Oct., 2021",2021/10,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,212
111,Alabama,1,"Nov., 2021",2021/11,Chronic lower respiratory diseases,J40-J47,"Emphysema, unspecified",J43.9,11
112,Alabama,1,"Nov., 2021",2021/11,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,18
113,Alabama,1,"Nov., 2021",2021/11,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,240
114,Alabama,1,"Dec., 2021",2021/12,Chronic lower respiratory diseases,J40-J47,"Emphysema, unspecified",J43.9,12
115,Alabama,1,"Dec., 2021",2021/12,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,23
116,Alabama,1,"Dec., 2021",2021/12,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",J44.1,12
117,Alabama,1,"Dec., 2021",2021/12,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,255
118,Alabama,1,"Jan., 2022",2022/01,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,35
119,Alabama,1,"Jan., 2022",2022/01,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,267
120,Alabama,1,"Feb., 2022",2022/02,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,23
121,Alabama,1,"Feb., 2022",2022/02,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,233
122,Alabama,1,"Mar., 2022",2022/03,Chronic lower respiratory diseases,J40-J47,"Emphysema, unspecified",J43.9,14
123,Alabama,1,"Mar., 2022",2022/03,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,13
124,Alabama,1,"Mar., 2022",2022/03,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,256
125,Alabama,1,"Apr., 2022",2022/04,Chronic lower respiratory diseases,J40-J47,"Emphysema, unspecified",J43.9,10
126,Alabama,1,"Apr., 2022",2022/04,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,15
127,Alabama,1,"Apr., 2022",2022/04,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,200
128,Alabama,1,"May, 2022",2022/05,Chronic lower respiratory diseases,J40-J47,"Emphysema, unspecified",J43.9,12
129,Alabama,1,"May, 2022",2022/05,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,15
130,Alabama,1,"May, 2022",2022/05,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,196
131,Alabama,1,"Jun., 2022",2022/06,Chronic lower respiratory diseases,J40-J47,"Emphysema, unspecified",J43.9,12
132,Alabama,1,"Jun., 2022",2022/06,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,15
133,Alabama,1,"Jun., 2022",2022/06,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,180
134,Alabama,1,"Jul., 2022",2022/07,Chronic lower respiratory diseases,J40-J47,"Emphysema, unspecified",J43.9,10
135,Alabama,1,"Jul., 2022",2022/07,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,23
136,Alabama,1,"Jul., 2022",2022/07,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",J44.1,10
137,Alabama,1,"Jul., 2022",2022/07,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,193
138,Alabama,1,"Aug., 2022",2022/08,Chronic lower respiratory diseases,J40-J47,"Emphysema, unspecified",J43.9,11
139,Alabama,1,"Aug., 2022",2022/08,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,16
140,Alabama,1,"Aug., 2022",2022/08,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,203
141,Alabama,1,"Sep., 2022",2022/09,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,20
142,Alabama,1,"Sep., 2022",2022/09,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,169
143,Alabama,1,"Oct., 2022",2022/10,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,22
144,Alabama,1,"Oct., 2022",2022/10,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,250
145,Alabama,1,"Nov., 2022",2022/11,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,21
146,Alabama,1,"Nov., 2022",2022/11,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,233
147,Alabama,1,"Dec., 2022",2022/12,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,20
148,Alabama,1,"Dec., 2022",2022/12,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,256
149,Alabama,1,"Jan., 2023",2023/01,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,24
150,Alabama,1,"Jan., 2023",2023/01,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",J44.1,12
151,Alabama,1,"Jan., 2023",2023/01,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,244
152,Alabama,1,"Feb., 2023",2023/02,Chronic lower respiratory diseases,J40-J47,"Emphysema, unspecified",J43.9,10
153,Alabama,1,"Feb., 2023",2023/02,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,26
154,Alabama,1,"Feb., 2023",2023/02,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,217
155,Alabama,1,"Mar., 2023",2023/03,Chronic lower respiratory diseases,J40-J47,"Emphysema, unspecified",J43.9,11
156,Alabama,1,"Mar., 2023",2023/03,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,27
157,Alabama,1,"Mar., 2023",2023/03,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,237
158,Alabama,1,"Apr., 2023",2023/04,Chronic lower respiratory diseases,J40-J47,"Emphysema, unspecified",J43.9,10
159,Alabama,1,"Apr., 2023",2023/04,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,23
160,Alabama,1,"Apr., 2023",2023/04,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",J44.1,10
161,Alabama,1,"Apr., 2023",2023/04,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,215
162,Alabama,1,"May, 2023",2023/05,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,19
163,Alabama,1,"May, 2023",2023/05,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,202
164,Alabama,1,"Jun., 2023",2023/06,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,18
165,Alabama,1,"Jun., 2023",2023/06,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,177
166,Alabama,1,"Jul., 2023",2023/07,Chronic lower respiratory diseases,J40-J47,"Emphysema, unspecified",J43.9,13
167,Alabama,1,"Jul., 2023",2023/07,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,15
168,Alabama,1,"Jul., 2023",2023/07,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",J44.1,12
169,Alabama,1,"Jul., 2023",2023/07,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,207
170,Alabama,1,"Aug., 2023",2023/08,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,15
171,Alabama,1,"Aug., 2023",2023/08,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,206
172,Alabama,1,"Sep., 2023",2023/09,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,18
173,Alabama,1,"Sep., 2023",2023/09,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",J44.1,10
174,Alabama,1,"Sep., 2023",2023/09,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,186
175,Alabama,1,"Oct., 2023",2023/10,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,20
176,Alabama,1,"Oct., 2023",2023/10,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,202
177,Alabama,1,"Nov., 2023",2023/11,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,25
178,Alabama,1,"Nov., 2023",2023/11,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,203
179,Alabama,1,"Dec., 2023",2023/12,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,24
180,Alabama,1,"Dec., 2023",2023/12,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",J44.1,15
181,Alabama,1,"Dec., 2023",2023/12,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,243
182,Alabama,1,"Jan., 2024 (provisional)",2024/01,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,41
183,Alabama,1,"Jan., 2024 (provisional)",2024/01,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",J44.1,17
184,Alabama,1,"Jan., 2024 (provisional)",2024/01,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,245
185,Alabama,1,"Feb., 2024 (provisional)",2024/02,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,15
186,Alabama,1,"Feb., 2024 (provisional)",2024/02,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,205
187,Alabama,1,"Mar., 2024 (provisional)",2024/03,Chronic lower respiratory diseases,J40-J47,"Emphysema, unspecified",J43.9,14
